Bin number in Map x y Bin number in distribution histo Events Energy
1	-0.15	-0.15	1	173	0.0583333
1	-0.15	-0.15	2	25	0.17807
1	-0.15	-0.15	3	12	0.304288
1	-0.15	-0.15	4	11	0.437731
1	-0.15	-0.15	5	7	0.579275
1	-0.15	-0.15	6	2	0.729969
1	-0.15	-0.15	7	6	0.89108
1	-0.15	-0.15	8	5	1.06416
1	-0.15	-0.15	9	6	1.25112
1	-0.15	-0.15	10	2	1.45441
1	-0.15	-0.15	11	6	1.67713
1	-0.15	-0.15	12	3	1.92343
1	-0.15	-0.15	13	4	2.19889
1	-0.15	-0.15	14	3	2.51139
1	-0.15	-0.15	15	6	2.8725
1	-0.15	-0.15	16	3	3.30028
1	-0.15	-0.15	17	2	3.82528
1	-0.15	-0.15	18	4	4.50584
1	-0.15	-0.15	19	4	5.47806
1	-0.15	-0.15	20	0	6.5307
2	-0.075	-0.15	1	241	0.0583333
2	-0.075	-0.15	2	39	0.17807
2	-0.075	-0.15	3	14	0.304288
2	-0.075	-0.15	4	5	0.437731
2	-0.075	-0.15	5	14	0.579275
2	-0.075	-0.15	6	19	0.729969
2	-0.075	-0.15	7	7	0.89108
2	-0.075	-0.15	8	5	1.06416
2	-0.075	-0.15	9	8	1.25112
2	-0.075	-0.15	10	7	1.45441
2	-0.075	-0.15	11	4	1.67713
2	-0.075	-0.15	12	9	1.92343
2	-0.075	-0.15	13	4	2.19889
2	-0.075	-0.15	14	6	2.51139
2	-0.075	-0.15	15	4	2.8725
2	-0.075	-0.15	16	5	3.30028
2	-0.075	-0.15	17	6	3.82528
2	-0.075	-0.15	18	2	4.50584
2	-0.075	-0.15	19	4	5.47806
2	-0.075	-0.15	20	2	6.5307
3	-0.0375	-0.15	1	164	0.0583333
3	-0.0375	-0.15	2	18	0.17807
3	-0.0375	-0.15	3	12	0.304288
3	-0.0375	-0.15	4	8	0.437731
3	-0.0375	-0.15	5	8	0.579275
3	-0.0375	-0.15	6	7	0.729969
3	-0.0375	-0.15	7	6	0.89108
3	-0.0375	-0.15	8	5	1.06416
3	-0.0375	-0.15	9	5	1.25112
3	-0.0375	-0.15	10	4	1.45441
3	-0.0375	-0.15	11	5	1.67713
3	-0.0375	-0.15	12	6	1.92343
3	-0.0375	-0.15	13	0	2.19889
3	-0.0375	-0.15	14	3	2.51139
3	-0.0375	-0.15	15	7	2.8725
3	-0.0375	-0.15	16	2	3.30028
3	-0.0375	-0.15	17	3	3.82528
3	-0.0375	-0.15	18	4	4.50584
3	-0.0375	-0.15	19	3	5.47806
3	-0.0375	-0.15	20	1	6.5307
4	-0.01875	-0.15	1	89	0.0583333
4	-0.01875	-0.15	2	15	0.17807
4	-0.01875	-0.15	3	8	0.304288
4	-0.01875	-0.15	4	3	0.437731
4	-0.01875	-0.15	5	4	0.579275
4	-0.01875	-0.15	6	10	0.729969
4	-0.01875	-0.15	7	3	0.89108
4	-0.01875	-0.15	8	5	1.06416
4	-0.01875	-0.15	9	4	1.25112
4	-0.01875	-0.15	10	1	1.45441
4	-0.01875	-0.15	11	5	1.67713
4	-0.01875	-0.15	12	2	1.92343
4	-0.01875	-0.15	13	2	2.19889
4	-0.01875	-0.15	14	2	2.51139
4	-0.01875	-0.15	15	3	2.8725
4	-0.01875	-0.15	16	1	3.30028
4	-0.01875	-0.15	17	4	3.82528
4	-0.01875	-0.15	18	2	4.50584
4	-0.01875	-0.15	19	4	5.47806
4	-0.01875	-0.15	20	0	6.5307
5	-0.009375	-0.15	1	32	0.0583333
5	-0.009375	-0.15	2	5	0.17807
5	-0.009375	-0.15	3	1	0.304288
5	-0.009375	-0.15	4	6	0.437731
5	-0.009375	-0.15	5	1	0.579275
5	-0.009375	-0.15	6	1	0.729969
5	-0.009375	-0.15	7	1	0.89108
5	-0.009375	-0.15	8	3	1.06416
5	-0.009375	-0.15	9	3	1.25112
5	-0.009375	-0.15	10	3	1.45441
5	-0.009375	-0.15	11	0	1.67713
5	-0.009375	-0.15	12	0	1.92343
5	-0.009375	-0.15	13	1	2.19889
5	-0.009375	-0.15	14	1	2.51139
5	-0.009375	-0.15	15	0	2.8725
5	-0.009375	-0.15	16	1	3.30028
5	-0.009375	-0.15	17	0	3.82528
5	-0.009375	-0.15	18	1	4.50584
5	-0.009375	-0.15	19	4	5.47806
5	-0.009375	-0.15	20	0	6.5307
6	-0.0046875	-0.15	1	25	0.0583333
6	-0.0046875	-0.15	2	3	0.17807
6	-0.0046875	-0.15	3	1	0.304288
6	-0.0046875	-0.15	4	3	0.437731
6	-0.0046875	-0.15	5	1	0.579275
6	-0.0046875	-0.15	6	0	0.729969
6	-0.0046875	-0.15	7	0	0.89108
6	-0.0046875	-0.15	8	0	1.06416
6	-0.0046875	-0.15	9	0	1.25112
6	-0.0046875	-0.15	10	3	1.45441
6	-0.0046875	-0.15	11	0	1.67713
6	-0.0046875	-0.15	12	0	1.92343
6	-0.0046875	-0.15	13	0	2.19889
6	-0.0046875	-0.15	14	0	2.51139
6	-0.0046875	-0.15	15	1	2.8725
6	-0.0046875	-0.15	16	0	3.30028
6	-0.0046875	-0.15	17	0	3.82528
6	-0.0046875	-0.15	18	2	4.50584
6	-0.0046875	-0.15	19	1	5.47806
6	-0.0046875	-0.15	20	0	6.5307
7	-0.00078125	-0.15	1	55	0.0583333
7	-0.00078125	-0.15	2	6	0.17807
7	-0.00078125	-0.15	3	2	0.304288
7	-0.00078125	-0.15	4	6	0.437731
7	-0.00078125	-0.15	5	3	0.579275
7	-0.00078125	-0.15	6	0	0.729969
